game_name,link,recent_review_positivity,recent_reivew_nvotes,recent_review_percentage,all_review_positivity,all_review_nvotes,all_review_percentage,release_date,developer,features,recent_review_nvotes
Cities: Skylines,https://store.steampowered.com/app/255710/Cities_Skylines/,Very Positive,0.0, 86,Very Positive," 61,668", 91,"10 Mar, 2015",Colossal Order Ltd.,0.0, 381
Planet Coaster,https://store.steampowered.com/app/493340/Planet_Coaster/,Mixed,, 65,Very Positive," 22,629", 87,"17 Nov, 2016",Frontier Developments,, 225
Grim Dawn,https://store.steampowered.com/app/219990/Grim_Dawn/,Very Positive,, 83,Very Positive," 28,002", 90,"25 Feb, 2016",Crate Entertainment,, 251
Arma 3,https://store.steampowered.com/app/107410/Arma_3/,Mostly Positive,, 75,Very Positive," 89,651", 89,"12 Sep, 2013",Bohemia Interactive,, 639
Train Simulator 2020,https://store.steampowered.com/app/24010/Train_Simulator_2020/,Mixed,, 56,Mixed," 9,694", 62,"12 Jul, 2009",Dovetail Games,, 73
Noita,https://store.steampowered.com/app/881100/Noita/,NaN,NaN,NaN,Very Positive," 1,812", 90,"24 Sep, 2019",Nolla Games,,
Train Sim World® 2020,https://store.steampowered.com/app/530070/Train_Sim_World_2020/,Mixed,, 65,Mixed," 2,796", 67,"24 Jul, 2018",Dovetail Games,, 61
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/,Mostly Positive,, 70,Mostly Positive," 181,759", 70,"27 Aug, 2017",Studio Wildcard,, 923
Green Hell,https://store.steampowered.com/app/815370/Green_Hell/,Very Positive,, 82,Very Positive," 4,495", 83,"5 Sep, 2019",Creepy Jar,, 723
Outward,https://store.steampowered.com/app/794260/Outward/,Mixed,, 51,Mostly Positive," 4,688", 71,"26 Mar, 2019",Nine Dots Studio,, 159
Oxygen Not Included,https://store.steampowered.com/app/457140/Oxygen_Not_Included/,Very Positive,, 88,Very Positive," 22,472", 93,"30 Jul, 2019",Klei Entertainment,, 435
World of Warships,https://store.steampowered.com/app/552990/World_of_Warships/,Mostly Positive,, 70,Mostly Positive," 19,287", 74,"15 Nov, 2017",Wargaming Group Limited,, 530
Rust,https://store.steampowered.com/app/252490/Rust/,Mostly Positive,, 78,Very Positive," 240,119", 80,"8 Feb, 2018",Facepunch Studios,," 1,796"
Total War: THREE KINGDOMS,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/,Mixed,, 47,Very Positive," 22,978", 80,"23 May, 2019",CREATIVE ASSEMBLY,, 400
MONSTER HUNTER: WORLD,https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/,Mostly Positive,, 79,Mostly Positive," 77,093", 73,"9 Aug, 2018","CAPCOM Co., Ltd.",," 1,889"
The Witcher® 3: Wild Hunt,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/,Very Positive,, 94,Overwhelmingly Positive," 216,421", 97,"18 May, 2015",CD PROJEKT RED,," 2,050"
Beat Saber,https://store.steampowered.com/app/620980/Beat_Saber/,Very Positive,, 92,Very Positive," 16,379", 94,"21 May, 2019",Beat Games,, 283
Raft,https://store.steampowered.com/app/648800/Raft/,Mostly Positive,, 79,Very Positive," 17,430", 80,"23 May, 2018",Redbeet Interactive,, 361
Yu-Gi-Oh! Duel Links,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/,Mostly Positive,, 76,Mostly Positive," 14,027", 78,"16 Nov, 2017",Konami Digital Entertainment,, 272
Assassin's Creed® Odyssey,https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/,Very Positive,, 83,Very Positive," 28,806", 84,"5 Oct, 2018",Ubisoft Quebec,, 640
House Flipper,https://store.steampowered.com/app/613100/House_Flipper/,Very Positive,, 82,Very Positive," 11,793", 82,"17 May, 2018",Empyrean,, 240
Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2/,Very Positive,, 90,Very Positive," 586,847", 93,"10 Oct, 2007",Valve,," 2,866"
